x,y,sonar_depth
-4.3721,-0.0,70.34509803921569
-4.3749113,-0.0,70.34509803921569
-4.377711,-0.0,70.34509803921569
-4.380498,-0.0,70.34509803921569
-4.3832726,-0.0,70.34509803921569
-4.386035,-0.0,70.34509803921569
-4.3887854,-0.0,70.34509803921569
-4.391524,-0.0,70.34509803921569
-4.39425,-0.0,70.34509803921569
-4.3969646,-0.0,70.34509803921569
-4.399667,-0.0,70.34509803921569
-4.402357,-0.0,70.34509803921569
-4.405036,-0.0,70.34509803921569
-4.407703,-0.0,70.34509803921569
-4.410358,-0.0,70.34509803921569
-4.4130015,-0.0,70.34509803921569
-4.415633,-0.0,70.34509803921569
-4.4182534,-0.0,70.34509803921569
-4.420862,-0.0,70.34509803921569
-4.4234595,-0.0,70.34509803921569
-4.4260454,-0.0,70.34509803921569
-4.42862,-0.0,70.34509803921569
-4.431183,-0.0,70.34509803921569
-4.433735,-0.0,70.34509803921569
-4.4362755,-0.0,70.34509803921569
-4.4388046,-0.0,70.34509803921569
-4.441323,-0.0,70.34509803921569
-4.44383,-0.0,70.34509803921569
-4.446326,-0.0,70.34509803921569
-4.448811,-0.0,70.34509803921569
-4.4512854,-0.0,70.34509803921569
-4.453748,-0.0,70.34509803921569
-4.4562006,-0.0,70.34509803921569
-4.458642,-0.0,70.34509803921569
-4.461073,-0.0,70.34509803921569
-4.463493,-0.0,70.34509803921569
-4.4659023,-0.0,70.34509803921569
-4.468301,-0.0,70.34509803921569
-4.470689,-0.0,70.34509803921569
-4.4730663,-0.0,70.34509803921569
-4.4754333,-0.0,70.34509803921569
-4.47779,-0.0,70.34509803921569
-4.4801364,-0.0,70.34509803921569
-4.482472,-0.0,70.34509803921569
-4.4847975,-0.0,70.34509803921569
-4.4871125,-0.0,70.34509803921569
-4.4894176,-0.0,70.34509803921569
-4.4917126,-0.0,70.34509803921569
-4.493997,-0.0,70.34509803921569
-4.4962716,-0.0,70.34509803921569
-4.498536,-0.0,70.34509803921569
-4.5007906,-0.0,70.34509803921569
-4.503035,-0.0,70.34509803921569
-4.5052695,-0.0,70.34509803921569
-4.5074944,-0.0,70.34509803921569
-4.509709,-0.0,70.34509803921569
-4.5119143,-0.0,70.34509803921569
-4.514109,-0.0,70.34509803921569
-4.518471,-0.0,70.34509803921569
-4.521298,-0.0,70.34509803921569
-4.524753,-0.0,70.34509803921569
-4.5288143,-0.0,70.34509803921569
-4.5334606,-0.0,70.34509803921569
-4.5386705,-0.0,70.34509803921569
-4.5444245,-0.0,70.34509803921569
-4.550702,-0.0,70.34509803921569
-4.557484,-0.0,70.34509803921569
-4.564752,-0.0,70.34509803921569
-4.572488,-0.0,70.34509803921569
-4.5806737,-0.0,70.34509803921569
-4.589292,-0.0,70.34509803921569
-4.598327,-0.0,70.34509803921569
-4.6077623,-0.0,70.34509803921569
-4.6175814,-0.0,70.34509803921569
-4.62777,-0.0,70.34509803921569
-4.638313,-0.0,70.34509803921569
-4.6491957,-0.0,70.34509803921569
-4.6604047,-0.0,70.34509803921569
-4.6719265,-0.0,70.34509803921569
-4.6837482,-0.0,70.34509803921569
-4.695857,-0.0,70.34509803921569
-4.708241,-0.0,70.34509803921569
-4.7208877,-0.0,70.34509803921569
-4.7337866,-0.0,70.34509803921569
-4.746926,-0.0,70.34509803921569
-4.760295,-0.0,70.34509803921569
-4.7738833,-0.0,70.34509803921569
-4.787682,-0.0,70.34509803921569
-4.80168,-0.0,70.34509803921569
-4.8158693,-0.0,70.34509803921569
-4.83024,-0.0,70.34509803921569
-4.844783,-0.0,70.34509803921569
-4.8594904,-0.0,70.34509803921569
-4.8743544,-0.0,70.34509803921569
-4.8893666,-0.0,70.34509803921569
-4.9045196,-0.0,70.34509803921569
-4.919806,-0.0,70.34509803921569
-4.935219,-0.0,70.34509803921569
-4.9507513,-0.0,70.34509803921569
-4.966397,-0.0,70.34509803921569
-4.9821486,-0.0,70.34509803921569
-4.998001,-0.0,70.34509803921569
-5.013948,-0.0,70.34509803921569
-5.0299835,-0.0,70.34509803921569
-5.046103,-0.0,70.34509803921569
-5.0622997,-0.0,70.34509803921569
-5.07857,-0.0,70.34509803921569
-5.0949078,-0.0,70.34509803921569
-5.111309,-0.0,70.34509803921569
-5.1277685,-0.0,70.34509803921569
-5.1442823,-0.0,70.34509803921569
-5.160846,-0.0,70.34509803921569
-5.1774564,-0.0,70.34509803921569
-5.194108,-0.0,70.34509803921569
-5.210798,-0.0,70.34509803921569
-5.227522,-0.0,70.34509803921569
-5.2442765,-0.0,70.34509803921569
-5.2610593,-0.0,70.34509803921569
-5.277866,-0.0,70.34509803921569
-5.294694,-0.0,70.34509803921569
-5.3115396,-0.0,70.34509803921569
-5.3284006,-0.0,70.34509803921569
-5.345274,-0.0,70.34509803921569
-5.362157,-0.0,70.34509803921569
-5.379047,-0.0,70.34509803921569
-5.3959413,-0.0,70.34509803921569
-5.412838,-0.0,70.34509803921569
-5.429734,-0.0,70.34509803921569
-5.446628,-0.0,70.34509803921569
-5.4635177,-0.0,70.34509803921569
-5.4804006,-0.0,70.34509803921569
-5.4972744,-0.0,70.34509803921569
-5.514138,-0.0,70.34509803921569
-5.5309896,-0.0,70.34509803921569
-5.547827,-0.0,70.34509803921569
-5.5646486,-0.0,70.34509803921569
-5.5814524,-0.0,70.34509803921569
-5.598238,-0.0,70.34509803921569
-5.6150026,-0.0,70.34509803921569
-5.631746,-0.0,70.34509803921569
-5.6484656,-0.0,70.34509803921569
-5.6651607,-0.0,70.34509803921569
-5.68183,-0.0,70.34509803921569
-5.6984725,-0.0,70.34509803921569
-5.7150865,-0.0,70.34509803921569
-5.731672,-0.0,70.34509803921569
-5.748226,-0.0,70.34509803921569
-5.7647495,-0.0,70.34509803921569
-5.78124,-0.0,70.34509803921569
-5.7976975,-0.0,70.34509803921569
-5.8141212,-0.0,70.34509803921569
-5.830509,-0.0,70.34509803921569
-5.846862,-0.0,70.34509803921569
-5.8631773,-0.0,70.34509803921569
-5.8794556,-0.0,70.34509803921569
-5.8956957,-0.0,70.34509803921569
-5.911897,-0.0,70.34509803921569
-5.928059,-0.0,70.34509803921569
-5.9441805,-0.0,70.34509803921569
-5.960262,-0.0,70.34509803921569
-5.976301,-0.0,70.34509803921569
-5.992299,-0.0,70.34509803921569
-6.008255,-0.0,70.34509803921569
-6.0241675,-0.0,70.34509803921569
-6.0400367,-0.0,70.34509803921569
-6.0558624,-0.0,70.34509803921569
-6.071644,-0.0,70.34509803921569
-6.087381,-0.0,70.34509803921569
-6.1030726,-0.0,70.34509803921569
-6.1187196,-0.0,70.34509803921569
-6.1343203,-0.0,70.34509803921569
-6.1498756,-0.0,70.34509803921569
-6.1653843,-0.0,70.34509803921569
-6.180846,-0.0,70.34509803921569
-6.1962614,-0.0,70.34509803921569
-6.2116294,-0.0,70.34509803921569
-6.22695,-0.0,70.34509803921569
-6.2422233,-0.0,70.34509803921569
-6.2574487,-0.0,70.34509803921569
-6.272626,-0.0,70.34509803921569
-6.2877555,-0.0,70.34509803921569
-6.3028364,-0.0,70.34509803921569
-6.3178687,-0.0,70.34509803921569
-6.3328524,-0.0,70.34509803921569
-6.3477874,-0.0,70.34509803921569
-6.3626733,-0.0,70.34509803921569
-6.37751,-0.0,70.34509803921569
-6.3922977,-0.0,70.34509803921569
-6.4070363,-0.0,70.34509803921569
-6.4217257,-0.0,70.34509803921569
-6.4363656,-0.0,70.34509803921569
-6.450956,-0.0,70.34509803921569
-6.4654965,-0.0,70.34509803921569
-6.4799876,-0.0,70.34509803921569
-6.494429,-0.0,70.34509803921569
-6.508821,-0.0,70.34509803921569
